,AGE,BOTTLER,BRAND,Body,CASK TYPE,CHILL FILTERED,Coutry of origin,COLOURING,COMPANY,COUNTRY,Classification,FINISH,FLAVOUR,GRAPE,GRAPE TYPE,Main_Category,NOSE,PALATE,Price,Product_Variant,REGION,SIZE,STYLE,Sub_Category,Sub_Sub_Category,TEMPERATURE,TYPES,Unnamed: 0,VINTAGE,product description,VOLUME
343,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,800.00,MAGIC MOMENTS CHOCOLATE_750ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,222,,"The
Macallan Triple Cask Matured 12 Years Old forms part of our Triple Cask Matured
range; a series of single malt whiskies crafted in a triple cask combination of
European and American sherry seasoned oak casks and American ex-bourbon oak
casks. This complex combination of oak casks delivers an extraordinarily smooth
and delicate character, full of citrus fruits, vanilla and fresh oak., ""Arial"",""sans-serif"";mso-bidi-font-weight:
bold'>Nose<b>:</b>""Arial"",""sans-serif""'> Gingerbread,
vanilla essence, wafts of buttered toast and clotted-cream-topped scones., <span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Palate<b>:</b><span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'> Raisins,
sultanas and stem ginger. Citrus begins to develop on the palate, with a touch
of dark chocolate., Finish<b>:</b>,  Subtle
cedar and honey linger on the palate.",750
344,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,1800.00,MAGIC MOMENTS DAZZLE VANILLA_750ML,,['750ML'],,vodka,Flavoured,,,223,,"Constructed in 1897 and the
seventh of the distilleries Glendullan sits on the bank of the river Dullen
amongst the picturesque Convall Hills in the Speyside region of Scotland.
Glendullan’s onion-shaped copper stills produce a delicate spirit with a green
apple profile. Delicate, light and perfectly balanced, Singleton of Glendullan
is aged in a combination of Ex- Bourbon and European Sherry., Dried fruit aromas, a
rich, complex palate and a soft nutty finish.",750
345,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,800.00,MAGIC MOMENTS GREEN APPLE_750ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,224,,"Constructed in 1897 and
the seventh of the distilleries Glendullan sits on the bank of the river Dullen
amongst the picturesque Convall Hills in the Speyside region of Scotland.
Glendullan’s onion-shaped copper stills produce a delicate spirit with a green
apple profile. Delicate, light and perfectly balanced, Singleton of Glendullan
is aged in a combination of Ex- Bourbon and European Sherry., Fresh fruit aromas, a sweet honeyed palate
&amp; a creamy lingering finish.",750
346,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,100.00,MAGIC MOMENTS GREEN APPLE_90ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,224,,,90
347,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,200.00,MAGIC MOMENTS GREEN APPLE_180ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,224,,"<font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">Indulge
your senses in the irresistible remix of two heavenly <span style=""font-size: 13.3333px;"">flavors<span style=""font-size: 10pt;"">; a delicious
blend of imported vodka and the rich taste of creamy, luscious chocolate. Most
experimented and the perfect mixer for your cocktail party. Create your own
decadent desserts and enjoy the sensational taste of the finest vodka ever., When
I brought the glass to my nose, I could smell nice chocolate
notes above the glass. The smell reminded me of a dark
semi-sweet chocolate bar with hints of shredded coconut embedded
within",180
348,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,400.00,MAGIC MOMENTS GREEN APPLE_375ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,224,,"<font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">Indulge
your senses in the irresistible remix of two heavenly <span style=""font-size: 13.3333px;"">flavors<span style=""font-size: 10pt;"">; a delicious
blend of imported vodka and the rich taste of creamy, luscious chocolate. Most
experimented and the perfect mixer for your cocktail party. Create your own
decadent desserts and enjoy the sensational taste of the finest vodka ever., When
I brought the glass to my nose, I could smell nice chocolate
notes above the glass. The smell reminded me of a dark
semi-sweet chocolate bar with hints of shredded coconut embedded
within",375
349,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,200.00,MAGIC MOMENTS LEMON GRASS &amp; GINGER_180ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,225,,"<font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">Indulge
your senses in the irresistible remix of two heavenly <span style=""font-size: 13.3333px;"">flavors<span style=""font-size: 10pt;"">; a delicious
blend of imported vodka and the rich taste of creamy, luscious chocolate. Most
experimented and the perfect mixer for your cocktail party. Create your own
decadent desserts and enjoy the sensational taste of the finest vodka ever., When
I brought the glass to my nose, I could smell nice chocolate
notes above the glass. The smell reminded me of a dark
semi-sweet chocolate bar with hints of shredded coconut embedded
within",180
350,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,400.00,MAGIC MOMENTS LEMON GRASS &amp; GINGER_375ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,225,,"<font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">Indulge
your senses in the irresistible remix of two heavenly <span style=""font-size: 13.3333px;"">flavors<span style=""font-size: 10pt;"">; a delicious
blend of imported vodka and the rich taste of creamy, luscious chocolate. Most
experimented and the perfect mixer for your cocktail party. Create your own
decadent desserts and enjoy the sensational taste of the finest vodka ever., When
I brought the glass to my nose, I could smell nice chocolate
notes above the glass. The smell reminded me of a dark
semi-sweet chocolate bar with hints of shredded coconut embedded
within",375
351,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,100.00,MAGIC MOMENTS LEMON GRASS &amp; GINGER_90ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,225,,,90
352,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,800.00,MAGIC MOMENTS LEMON GRASS &amp; GINGER_750ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,225,,"Magic
Moments Green Apple possesses a stunningly delicious blend of sour and sweet
apples. Experience the aroma of the crispy smooth taste enriched with
freshness. A taste featuring the mellow flavours and subtle sweetness that
triggers your senses in unexpected ways, once you go for it, it's hard to stop., If you like the green apple flavour then you will really love
this flavoured vodka. The flavour is tart just like a Granny
Smith apple; but with just enough sweetness to make it wonderfully
shippable.",750
353,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,800.00,MAGIC MOMENTS ORANGE_750ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,226,,"Magic
Moments Green Apple possesses a stunningly delicious blend of sour and sweet
apples. Experience the aroma of the crispy smooth taste enriched with
freshness. A taste featuring the mellow flavours and subtle sweetness that
triggers your senses in unexpected ways, once you go for it, it's hard to stop., If you like the green apple flavour then you will really love
this flavoured vodka. The flavour is tart just like a Granny
Smith apple; but with just enough sweetness to make it wonderfully
shippable.",750
354,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,100.00,MAGIC MOMENTS ORANGE_90ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,226,,"Magic
Moments Green Apple possesses a stunningly delicious blend of sour and sweet
apples. Experience the aroma of the crispy smooth taste enriched with
freshness. A taste featuring the mellow flavours and subtle sweetness that
triggers your senses in unexpected ways, once you go for it, it's hard to stop., If you like the green apple flavour then you will really love
this flavoured vodka. The flavour is tart just like a Granny
Smith apple; but with just enough sweetness to make it wonderfully
shippable.",90
